IT,English
WWW.MY-SUBS.COM,WWW.MY-SUBS.COM
Se hai sedici anni e vivi nel quartiere più bello di Roma sei fortunato.,"If you're 16 and live in the most beautiful neighborhood of Rome, you're lucky."
Il nostro è il migliore dei mondi possibili.,Ours is the best of the worlds.
"Siamo immersi in questo acquario bellissimo, ma sogniamo il mare.","We are immersed in this beautiful aquarium, but we dream of the sea."
"Ecco perché, per sopravvivere,","That's why, to survive,"
abbiamo bisogno di una vita segreta.,We need a secret life.
"Ehi, devi svegliarti. Dai!","Hey, you need to wake up."
Nico!,Nico!
"Nico, alzati, dai! Ti devi alzare. Vestiti.","Nico, get up, come on, get up, get dressed."
Sì.,Yes.
"- Dai. - Sì, sì.","- Yeah, yeah."
Ci vediamo a scuola.,I'll see you at school.
Signora.,Ma'am.
- Buongiorno. - Eccoti lì.,- There you are.
"- La vuoi la centrifuga? - No, grazie, devo scappare.","No, thank you, I have to run."
Non puoi sempre saltare la colazione.,You can't always skip breakfast.
- Esci così? - Mi alleno prima.,- You're going out like this?
"Senti, ma tu lo sapevi che il marito della prof di atletica,","Look, you knew that the athletic teacher's husband,"
"l'ambasciatore, ha un altro figlio?","The ambassador, do you have another son?"
Dicono che non l'ha cresciuto lui e che...,They say he didn't raise him and that...
Ciao.,Hi.
Ma ieri sera?,But last night?
Ti ho chiamato dieci volte.,I called you ten times.
"Sono crollata, ero distrutta. Pronta?","I collapsed, I was destroyed."
Ti ho fatto scaldare un cornetto. Non sapevo cosa prendi.,I didn't know what you were getting.
Basta un caffè.,Just a coffee.
Buongiorno.,Good morning.
- E la divisa? - Sto bene così.,- What about the uniform?
Guarda che non ti fanno entrare così.,They won't let you in like that.
No? Ci stanno le guardie pure là?,"Are the guards there, too?"
Qui incoraggiamo le vostre passioni.,Here we encourage your passions.
Tentiamo di aiutarvi a trovare voi stessi.,We try to help you find yourself.
"Entrare a metà dell'anno non è semplice, all'inizio ti sentirai un po' spaesato.","Coming in in the middle of the year isn't easy, at first you'll feel a little lost."
"Certo il livello è alto, è molto più alto della scuola da dove provieni,","Of course, the level is high. It's much higher than the school you come from."
però se studi e rimani concentrato,but if you study and stay focused
sono sicuro che ti inserirai bene.,I'm sure you'll fit in nicely.
"Così ha detto, eh?","That's what he said, huh?"
- Ciao. - Ciao.,- Hi.
Ciao.,Hi.
"Scusa, questo è il mio banco.","Sorry, this is my desk."
D'ora in poi non più.,Not anymore.
Damiano Younes.,Damiano Younes.
Presente.,Present.
Il tuo banco è qui davanti. Abbiamo i posti assegnati.,Your desk's in front of us.
Tutto bene?,You okay?
Che cazzo vuoi?,What the fuck do you want?
"No, niente. Pensavo ti sentissi male.",I thought you were sick.
Scusa.,Sorry.
È che c'ho l'interrogazione di matematica.,It's just that I have the math question.
E non so un cazzo. Quindi mi stavo preparando.,"And I don't know shit, so I was getting ready."
Ti serve una mano?,Do you need some help?
È che ne ho una copia solo. Se sbaglio è un casino.,"If I'm wrong, it's a mess."
Comunque grazie.,"Anyway, thank you."
Allora...,So...
Allora.,So.
- Questo è quello di tuo padre? -Mm-mm.,- Is this your father's?
Come stanno?,How are they?
Perfette.,Perfect.
Vabbè. Mo' vai però! Devo ripassare ancora.,I've got to go over it again.
Non hai ancora consegnato i moduli?,You haven't delivered the forms yet?
Ci stavo per andare.,I was gonna go.
Tanto gli ho detto a mio padre di non farvi passare.,I told my dad not to let you through anyway.
"Così anziché un anno all'estero, rimanete qui al Collodi.","So instead of a year abroad, stay here at Collodi."
Che stronzo!,What an asshole!
"Sì, ho capito, ma a me non ci pensate. Io che faccio senza di voi?","Yeah, I get it, but don't think about me."
Ma lo sai che ci mancherai.,But you know we're gonna miss you.
E le colazioni al Central Park?,What about breakfasts at Central Park?
"- Ah no, infatti. - Ah, capisci!","- Oh, no, you don't."
Ma voi ci venite alla festa di Brando?,Are you guys coming to Brando's party?
Ci vanno tutti.,Everyone's going.
Ecco il secchiello.,Here's the bucket.
Che stavi facendo nel bagno?,What were you doing in the bathroom?
Un altro video porno. Poi mandacelo.,"Another porn video, then send it to us."
Dite che viene?,You say he's coming?
"Non penso proprio, dopo quello che ha fatto.","I don't think so, after what he did."
Vado a consegnare i moduli. Ci vediamo dopo.,I'm gonna go deliver the forms.
- Com'è andata oggi? - Male.,- How was your day?
È normale. Datti tempo.,It's normal.
"Senti papà, mi puoi accompagnare a casa, devo riprendere il motorino?","Listen, Dad, can you drive me home? Should I get my scooter back?"
"Purtroppo, vado a una riunione. Facciamo domenica?","Unfortunately, I'm going to a meeting."
E che sto tutta la settimana a piedi?,And that I'm walking all week?
- C'è l'autista. - Ma non ci penso proprio!,- The driver's here.
"Damiano, questo motorino è vecchio.","Damiano, this scooter is old."
Ci sono affezionato. Era di mamma.,It was Mom's.
"Forse è meglio se ti compro una macchinetta, è più sicuro.","Maybe it's better if I buy you a machine, it's safer."
"Vabbè, ho capito, ci vado da solo.","All right, I get it. I'm going alone."
E mandaci 'sti coglioni in giro con la macchinetta.,And send these assholes around with the machine.
"- Bella, Damiano. - Oh, bella, Fa'!","- Nice, Damiano."
"Ti vedo bene, so' contento.",You look good. I'm happy.
"Pure io. Fica sta maglietta, aho.","So am I. Pussy's shirt, aho."
"Senti, ma che fine ha fatto la roba che ti ho dato?","Look, what happened to the stuff I gave you?"
Te la devo ridare. Non riesco a piazzarla a questo momento.,I'm gonna give it back to you.
C'ho guardie col mitra sotto casa.,I've got guards with a machine gun underneath the house.
"E che vieni, a fa' reso? Che ti sembro, un pizzicarolo?","What do you think I look like, a pinch?"
- Mi dispiace ma... - Non hai capito.,"I'm sorry, but... you don't understand."
"Inventate qualcosa, fantasia.","Invent something, fantasy."
"Vabbè, te la ridò. Mi sento più tranquillo.","All right, I'll give it back to you."
"Guarda Damiano, io te voglio bene ma non se può fà. O mi porti i soldi","Look Damiano, I love you but not if you can. Or bring me the money."
oppure questo motorino di merda.,Or this fucking scooter.
"No, dammi un'altra settimana e risolvo, vabbè?","No, just give me another week and I'll figure it out, okay?"
Una settimana. A posto.,A week.
"Se capiti in piazza passa a salutare mia cugina, che sicuramente le fa piacere.","If you happen to be in the square, stop by and say goodbye to my cousin, who surely pleases you."
Amore di nonna!,Grandma's love!
"- Ciao, nonna. - Come stai?","- Hi, Grandma."
Ma che sei cresciuto?,What have you grown up for?
"- Sembra che ti sei allungato. - O, sei te che ti sei ristretta, non io.","Or, you're the one who narrowed down, not me."
E cerca di star dritta con questa schiena.,And try to stand straight with this back.
È che io sto più comoda così.,It's just that I'm more comfortable this way.
Poi vedrai...,Then you'll see...
"Senti, io vado a pigliare qualcosa in camera e rivengo, va bene?","Look, I'm gonna go grab something in my room and I'm gonna sell it, okay?"
Ma dove corri?,Where are you running?
"- Non resti a cena? - No, non posso nonna.",- You're not staying for dinner?
"Aspetta, aspetta...","Wait, wait..."
"Ma, come va?","But, how's it going?"
Com'è col papà? Te tratta bene?,What's he like with Dad?
Era meglio qua.,It was better here.
Tu ha promesso la mamma...,You promised Mom...
"Ah vabbè, ciao nonna.","Oh, well, hello, Grandma."
"Mortacci mia, mejo se stavo zitto.","Dead me, mejo if I shut up."
"La retta non si paga da sola, neanche il parrucchiere.","The tuition doesn't pay for itself, not even the hairdresser."
La lasciamo così allo sbando tua figlia?,That's how we leave your daughter behind?
"Richiamami, stronzo!","Call me back, asshole!"
- Tuo padre è uno stronzo. - Niente di nuovo.,- Your dad's an asshole.
"Più invecchia, più è stronzo.","The older he gets, the more asshole he is."
Che fai?,What are you doing?
Com'è andata a scuola?,How was school?
Tranquilla.,It's okay.
- Ho una bella notizia. - Sì?,- I have some good news.
Stasera ti porto a cena fuori. È ora che ti presenti una persona.,I'm taking you out to dinner tonight.
Uomo o donna?,Man or woman?
"Un uomo, ovviamente.","A man, of course."
"Altro giro, altra corsa!","More rounds, more races!"
Vestiti carina. ma non troppo.,"Cute clothes, but not too much."
"No, abbiamo messo lo stesso smalto.","No, we put the same nail polish."
- Fico! - Immortaliamolo.,Let's immortalize him.
"Hashtag ""mom and daughter's...","Hashtag ""mom and daughter's..."
"ehm, blue nails.""","uh, blue nails."""
Tanto dopo un mese lo cacciano.,"After a month, they kick him out."
Mio padre dice pure che era problematico alla pubblica.,My father also said it was problematic to the public.
- Ti rode che voleva rubarti il posto? - Te sei problematico!,- Do you think he was gonna steal your job?
Vuoi una forchetta?,You want a fork?
"Ridete, ridete...","Laugh, laugh..."
Tanto se poi la scuola diventa come San Basilio vediamo.,If then the school becomes like St. Basil we see.
- Invece è carino. - Possiamo?,- He's cute.
Fate pure.,Go ahead.
"Che poi lui si porta a casa chi gli pare, a me me rompono le palle.","That then he takes home whoever he wants, I'm gonna bust my balls."
"Dio, Cami, ancora con questo femminismo.","God, Cami, still with this feminism."
"Non è femminismo, Fa'. È questione di pesi e misure.","It's not feminism, Fa."
"Io ormai sono vecchia, ma Ludo è un genio della moda.","I'm old by now, but Ludo is a fashion genius."
- Ci può dare una mano. - Che mano?,- You can help us out.
"Lele s'è messo a fare il buyer,",Lele's starting to be a buyer.
e sta comprando i vestiti per il mio store.,And he's buying clothes for my store.
Ci mettiamo in affari.,We're in business.
Sì. Sono abiti importati dal Perù.,"Yes, they're clothes imported from Peru."
- Peru? - Peru.,Peru?
Buonasera.,Good evening.
Faccio io.,I got it.
Grazie.,Thank you.
Chiara.,Chiara.
Chia'!,Call!
"- Sono d'accordo, sì. - Appunto.","- I agree, yes."
"Se tu porti uno a casa, io non penso che i tuoi impazziscano di gioia.","If you bring one home, I don't think your folks go crazy with joy."
"Vabbè, tanto non c'è pericolo.","Well, there's no danger."
Tanto noi a New York ci troveremo qualcuno di interessante.,We're gonna find someone interesting in New York anyway.
Che mi lasciate da solo col coatto.,That you leave me alone with the crush.
Che palle che sei.,You're such a pain in the ass.
Magari mi insegna pure a usare la pistola.,Maybe he teaches me how to use the gun.
Così ti puoi sparare.,So you can shoot yourself.
Me lo tieni un attimo per favore?,"Can you hold this for a second, please?"
Grazie.,Thank you.
Come stai?,How are you?
Sto.,I'm... I'm... I'm... I'm... I'm... I'm...
"Ma, posso darti un bacio?","But, can I give you a kiss?"
"Niente segno, così non ti incazzi, no?","No sign, so you don't get pissed off, do you?"
Virginia?,Virginia?
È andata via.,She's gone.
Litigato?,Fight?
Noi non litighiamo.,We don't fight.
"""Discutiamo"", dice.","""Let's discuss,"" he says."
E che differenza c'è?,What's the difference?
Che discutere è assolutamente normale.,That argument is absolutely normal.
"Quindi se dico che le cose non vanno, sono io lo stronzo.","So if I say things aren't right, I'm the asshole."
"Se vuoi lasciarla, non devi chiederle permesso.","If you want to leave her, you don't have to ask her permission."
- Dici? - Si vede che non te ne frega niente.,You can tell you don't give a shit.
Lei dice che l'amo.,She says I love her.
A Virginia non importa se l'ami. A lei importa che vieni bene in foto.,Virginia doesn't care if you love her.
Vabbè. Però vengo bene nelle foto.,"Okay, but I'm good in the pictures."
"Guarda, oggi ho fatto addominali.","Look, I had a abs today."
- Tocca. - Che peccato.,- That's too bad.
"Prima di diventare bello, eri un fratello sveglio.","Before you became handsome, you were a smart brother."
Facciamo tutto quello che vuoi.,Let's do whatever you want.
- Davvero? - Sì.,- Really?
Invece un po' di sport ti farebbe bene.,A little sport would do you good.
- Faccio già skate. - Capirai!,- I'm already skating.
"- Senti, io vado. - Dai, mezz'ora e andiamo via insieme.","Come on, half an hour and let's go together."
"Buongiorno, come state?","Good morning, how are you?"
- Buongiorno. - Bene.,- Good morning.
"- Sabina, la schiena? - Bene.","Sabina, your back?"
"Ok. Allora, chi ha fatto lo stretching, cominci con un po' d'andatura.","Okay, so, who did the stretching, you start with a little pace."
"Vai, forza. Matteo, che mi devi dire?","Matteo, what are you gonna say?"
- Scarpe nuove. - Bravo!,- New shoes.
Ha comprato le scarpe nuove!,He bought the new shoes!
Era ora!,It's about time!
Facciamo un po' di partenze?,Shall we set off?
Ehi!,Hey!
Ehi.,Hey.
Voglio ringraziarti ancora per le firme. Erano identiche.,I want to thank you again for the signatures.
Te l'avevo detto.,I told you.
- Stasera vieni alla festa? - Manco morta!,Are you coming to the party tonight?
"C'è una serata in un locale figo, vado là.",There's a night at a cool club. I'm gonna go over there.
"Senti, perché non ci facciamo un giro?","Look, why don't we take a ride?"
Per andare?,To go?
Perché dovete sempre andare da qualche parte?,Why do you always have to go somewhere?
"Mamma, non posso più al negozio, vado a studiare con Chiara.","Mom, I can't go to the store anymore. I'm going to study with Chiara."
"Mamma è al lavoro, e non se ne accorge mai.","Mom's at work, and she never notices."
Ma la sai portare?,But can you bring it?
Attenta!,Watch out!
"Ludovica, dai!","Ludovica, come on!"
Oh!,Oh!
È stupendo.,It's beautiful.
"- Non c'eri mai venuta? - No, qui no.",- You've never been here before?
Ti è già scesa la presa bene?,Has your grip come down well yet?
Voi dovreste rilassarvi un po'.,You guys should relax a little bit.
"- Voi chi, scusa? - Voi.","- You who, I'm sorry?"
Io sono io.,I'm me.
Ti piacerebbe.,You'd like that.
Vaffanculo! Non mi conosci.,You don't know me.
Devi guardare oltre.,You have to look further.
"Se vuoi cambiare qualcosa, la cambi.","If you want to change something, you change it."
Quindi stasera vieni con me?,So you're coming with me tonight?
Questa città ha bisogno di me.,This town needs me.
Che carina quella gonna.,That skirt is so cute.
Ieri ho visto papà con una.,Yesterday I saw Dad with one.
Perché deve portarle qui?,Why do you have to bring them here?
Ma perché è entrata in casa?,But why did she come into the house?
"No, sul vialetto.","No, on the driveway."
"Ah, allora va bene.","Okay, then."
"Va bene cosa, scusami? Non ti dà fastidio?","All right, what, I'm sorry, doesn't it bother you?"
"Guarda, ho preso i Pantone.","Look, I got the Pantones."
- E tu cosa fai quando esci? - Tu non ti preoccupare.,What do you do when you get out?
- Ti vedi con qualcuno? - Eh?,- Are you seeing anyone?
Ti vedi con qualcuno?,Are you seeing anyone?
No. In questo periodo no.,"No, not this time of year."
Volete divorziare?,Do you want a divorce?
"Ma no, tesoro.","No, honey."
Io e papà siamo separati in casa.,Dad and I are separated in the house.
"È una decisione che abbiamo preso insieme, no. Lo abbiamo fatto per te.","It's a decision we made together, no, we made it for you."
"Se adesso tu ti preoccupi, non ha senso, scusa.","If you're worried now, it doesn't make sense, sorry."
"- Ma non vuoi innamorarti di nuovo? - Chiara, poi si cresce.",But don't you want to fall in love again?
L'amore non esiste.,Love doesn't exist.
♪ What you gonna do about it? What you gonna do? ♪,♪ What you gonna do about it? What you gonna do?
"♪ Yeah, I got skills Yeah, I got skills ♪","♪ Yeah, I got skills Yeah, I got skills ♪"
♪ What you gonna do about it? What you gonna do? ♪,♪ What you gonna do about it? What you gonna do?
♪ Le skills What you gonna do about it? ♪,♪ Le skills What you gonna do about it?
♪ What you gonna do? ♪,♪ What you gonna do?
"♪ Yeah, I got skills What you gonna do about it? ♪","♪ Yeah, I got skills What you gonna do about it?"
"Festa di merda, eh?","Fucking party, huh?"
È tremenda.,She's terrible.
"- Senti, qua ci vuole una cosa forte. - Eh?","Listen, this is gonna take something strong."
Ci vuole una cosetta forte.,It's gonna take a little something.
"Tecnica shottino, modalità on.","Shoot technique, mode on."
"Lo mandi tutto giù in un sorso, ti girerà la testa ma non vomiterai mai.","You send it all down in a sip, it'll turn your head, but you'll never vomit."
- Ma che senso ha? - Fallo!,- What's the point?
Dai!,Come on!
Ma sei matta?,Are you crazy?
Per quanto vendi sto' schifo?,How much do you sell I suck?
"Fatti un tiro, no? Offre la casa.","Take a shot, isn't it?"
C'è sta un problema... questa è casa mia.,There's a problem... this is my home.
"Pure il Collodi è casa mia, tanto p'esse chiari.","Even the Collodi is my home, so clear."
Io sò p'a libera concorrenza. Te a quanto la metti ?,I know it's free competition.
"- Un ventino. - Ah, doppio della mia.","Oh, twice as much as mine."
Da dove la raccogliete l'erba? Per terra al Quarticciolo?,Where do you pick the weed from?
Venti euro non li chiedo manco a 'ste teste de cazzo con la macchinetta.,Twenty euros I don't even ask these dickheads with the machine.
"Te devi levà dar cazzo, Damiano!","You gotta get the fuck out of here, Damiano!"
"Peccato, l'amico tuo gli piaceva invece.","Too bad, he liked your friend instead."
- Ma perché te ne vuoi andare in America? - Come?,Why do you want to go to America?
I fogli con le firme. Non stai bene qua?,"Signed papers, aren't you okay here?"
Non lo so...,I don't know.
C'è mia sorella che studia in America. Mi ha detto che è tutto normale come qua.,My sister's studying in America.
Normale come?,Normal how?
"Case, alberi, macchine...","Houses, trees, cars..."
E poi là non ci sono neanche i supereroi.,And there aren't even superheroes there.
- Ancora? - Ancora?,Again?
"- Dai! - Sì, dai.","- Yeah, come on."
Che c'è là sotto? E là sotto ancora?,What's down there?
"- Dai, vieni qua. - Che c'è sotto al fucsia?",What's under the fuchsia?
- Non lo so. - Non lo sai? Scopriamolo.,I don't know.
"- Vuoi scoprirlo? - Eh sì, eh.",- You want to find out?
"- Oh, no... - Dai vieni, che te lo succhio.","Come on, I'll suck it."
Va bene. Ma che vuoi fare?,"All right, what are you gonna do?"
Se vuoi te lo lecco.,"If you want, I'll lick it."
"Dai, scopiamo.","Come on, let's fuck."
Tu lo sai? Hai capito?,Do you know?
"Sì, però...","Yeah, but..."
"- Dai, basta, ti prego! - Dai!","- Come on, stop, please!"
Basta con 'sto coso. Basta. Vuoi che me lo appoggio lì?,You want me to put it there?
Facciamo l'amore. Come ti pare ma...,Let's make love.
Facciamo quello che vuoi tu.,Let's do what you want.
- Dimmi che sono sola tua. - Cosa?,Tell me I'm yours alone.
- Dimmi che sono sola tua. - Sei solo mia.,Tell me I'm yours alone.
"- No, di più. - Sei solo mia.","No, more."
Dimmi che sono solo tua.,Tell me I'm yours.
"Stronza, mi fai male!","Bitch, you're hurting me!"
"Che cazzo fai? Basta, basta.",What the fuck are you doing?
Ma che cazzo fai?,What the fuck are you doing?
- Che cazzo fai? - Te ne vuoi annà?,- What the fuck are you doing?
Piantala!,Stop it!
"Senti, ma che cazzo vuoi? Te ne vai?","Listen, what the fuck do you want?"
Ma che hai?,What's wrong with you?
Mi hanno rubato il motorino.,They stole my scooter.
Era di mia madre.,It was my mother's.
Sarà assicurato. Vedrai che non se la prende.,"He'll be insured, you'll see he's not mad."
Ma quello è sicuro.,But that's for sure.
È morta.,She's dead.
Che super taglio di capelli che hai,What a super haircut you've got.
Potresti vincere tutto,You could win everything.
Lo sai siamo sospesi,You know we're suspended.
in un vecchio spot dove allo specchio,in an old spot where in the mirror
tu canti con il phon,You sing with the hair dryer
"Certo che lo sai,",Of course you do.
prendi tutto e te ne vai Per vedere se è vero,You take everything and you go to see if it's true.
Che poi ti vengo a cercare,Then I'll come and find you.
"E ritorni solo se,","And come back only if,"
cambia tutto tranne te Alla tua festa non c'ero,Everything changes except you. I wasn't at your party.
Ma ti hanno vista ballare,But they saw you dancing.
"In the night,","In the night,"
da sola in the night,alone in the night
Com'era?,What was it like?
Tremendo.,Terrible.
Devo rispondere.,I have to take this.
- Ehi. - Bella amica che sei!,- Nice friend you are!
Ma che ho fatto?,What did I do?
Lo sapevi.,You knew.
No che non lo sapevo.,"No, I didn't."
E poi è tutta colpa mia perché gliel'ho fatto fare io a quello stronzo.,"Besides, it's all my fault because I made that asshole do it to him."
"Mi dispiace, è stato uno scherzo del cazzo.","I'm sorry, it was a fucking joke."
Giura.,Swear.
Giura che non lo sapevi.,Swear you didn't know.
Te lo giuro.,I swear.
E ti dispiace per me?,And you feel sorry for me?
Moltissimo.,Very much.
Allora aiutami a svoltare sto' sabato di merda.,Then help me turn this shitty Saturday.
Ok.,Okay.
"Scusami, io devo andare.","I'm sorry, I have to go."
Ciao.,Hi.
"Vabbè, la felpa te la puoi pure tene'.","All right, you can have the sweatshirt."
Ludo!,Ludo!
Come stai?,How are you?
Ora meglio.,Better now.
Entriamo.,Let's go in.
- Sei sicura? - Sì.,- Are you sure?
"Conosco anche il proprietario. Ci danno pure i cocktail gratis, dai!","They give us free cocktails, come on!"
Secondo me neanche ci fanno entrare.,I don't think they even let us in.
Guarda come sono vestita. Sono tutti eleganti.,Look at the way I'm dressed.
"Sì, che ci fanno entrare.","Yeah, they let us in."
"- Io vado. - Vabbè, ciao.","- All right, bye."
"Dai, non ti incazzare!","Come on, don't get pissed off!"
"Allora, vieni!","Come on, then!"
- Buon divertimento. - Grazie.,- Have fun.
Chi ci rivede! Bravo che ritorni.,Good to see you back.
"Molto piacere, Saverio.","Nice to meet you, Saverio."
"- Scusate. - Prego, prego.",Excuse me.
Ehi! Sandro.,"Hey, Sandro."
- Lei è Chiara. - Ciao.,- This is Chiara.
Lui è quello dei cocktail.,He's the one with the cocktails.
- Saverio. - Saverio.,Saverio.
"- Salve. - Dai, vi faccio entrare.","- Come on, I'll let you in."
Scusi.,Excuse me.
Pronte?,Ready?
Buon divertimento.,Have fun.
"- Aho, me fai fare un giro? - Che?","- Aho, will you give me a ride?"
M'hanno rubato il motorino. Lo devo andare a cercare.,They stole my scooter.
"Se famo veloce, un paio di posti dove magari...","If we make it quick, a couple of places where maybe..."
"- Io devo andare a casa. - Dai, guido io. Ci metto due minuti.","Come on, I'll drive."
"Senti, scendi.","Listen, get out."
"- Ma scusa, scendi tu. - Dai, scendi!","- I'm sorry, you come down."
"Per le consegne di domani, tutto ok.","For tomorrow's deliveries, it's okay."
"- Ah, allora li usi? - Che?","- Oh, so you're using them?"
I due neuroni che hai.,The two neurons you have.
Volevi i super poteri? Bastava venire qui.,You wanted superpowers?
Guarda là.,Look at that.
Quelle due ci fanno fare un sacco di soldi.,Those two make us a lot of money.
Portagliene due.,Bring him two.
Due succhi di frutta?,Two juices?
Dai.,Come on.
"♪ ...fortunate ones And girls, they wanna have fun ♪","♪ Lucky ones And girls, they wanna have fun ♪"
Per noi la vita è semplice.,"For us, life is simple."
"Vogliamo sentirci onnipotenti,","We want to feel almighty,"
divertirci e fare cazzate.,Have fun and do shit.
"E se non riusciamo a farlo alla luce del giorno,","And if we can't do it in the light of day,"
ci rifuggiamo in qualcosa che è solo nostro.,We're running away from something that's just ours.
"La cosa bella quando hai una vita segreta,","The nice thing when you have a secret life,"
è che non sai mai cosa ti aspetta.,"It's just, you never know what's coming for you."
"♪ Oh, Daddy dear You know you're still number one ♪","♪ Oh, Daddy dear You know you're still number one ♪"
"♪ But girls, they wanna have fun ♪","♪ But girls, they wanna have fun ♪"
"♪ Oh, girls just wanna have fun ♪","♪ Oh, girls just wanna have fun ♪"
♪ That's all they really want ♪,♪ That's all they really want ♪
♪ Some fun ♪,♪ Some fun ♪
♪ When the working day is done ♪,♪ When the working day is done ♪
"♪ Oh, girls, they wanna have fun ♪","♪ Oh, girls, they wanna have fun ♪"
"♪ Oh, girls just wanna have fun ♪","♪ Oh, girls just wanna have fun ♪"
♪ Some boys take a beautiful girl ♪,♪ Some boys take a beautiful girl ♪
♪ And hide her away From the rest of the world ♪,♪ And hide her away From the rest of the world ♪
♪ I wanna be the one to walk in the sun ♪,♪ I wanna be the one to walk in the sun ♪
"♪ Oh, girls, they wanna have fun ♪","♪ Oh, girls, they wanna have fun ♪"
"♪ Oh, girls just wanna have fun ♪","♪ Oh, girls just wanna have fun ♪"
♪ That's all they really want ♪,♪ That's all they really want ♪
♪ Some fun ♪,♪ Some fun ♪
♪ When the working day is done ♪,♪ When the working day is done ♪
"♪ Oh, girls, they wanna have fun ♪","♪ Oh, girls, they wanna have fun ♪"
"♪ Oh, girls just wanna have fun ♪","♪ Oh, girls just wanna have fun ♪"
♪ They just wanna They just wanna ♪,♪ They just wanna They just wanna ♪
♪ They just wanna They just wanna ♪,♪ They just wanna They just wanna ♪
♪ They just wanna They just wanna ♪,♪ They just wanna They just wanna ♪
♪ They just wanna They just wanna ♪,♪ They just wanna They just wanna ♪
♪ When the working day is done ♪,♪ When the working day is done ♪
"♪ Oh, girls, they wanna have fun ♪","♪ Oh, girls, they wanna have fun ♪"
"♪ Oh, girls just wanna have fun ♪","♪ Oh, girls just wanna have fun ♪"
